YEAR,STATE,ST_Num,COUNTY,CTY_Num,TRACT_Num,Total_Housing_Units,Total_Vacant,Median_Home_Value,Foreign_Born,Median_Home_Age,Single_Family_Detached
1960,Kentucky,21,Jefferson,111,1,667,194,59983,4,21,313
1960,Kentucky,21,Jefferson,111,2,1400,569,59983,21,21,818
1960,Kentucky,21,Jefferson,111,3,902,181,59983,8,21,691
1960,Kentucky,21,Jefferson,111,4,1701,265,99973,66,21,1579
1960,Kentucky,21,Jefferson,111,5,841,292,59983,8,21,609
1960,Kentucky,21,Jefferson,111,6,1704,688,59983,8,21,991
1960,Kentucky,21,Jefferson,111,7,1580,494,59983,46,21,1048
1960,Kentucky,21,Jefferson,111,8,1012,236,99973,43,21,643
1960,Kentucky,21,Jefferson,111,9,1141,437,99973,0,21,597
1960,Kentucky,21,Jefferson,111,10,2035,1042,59983,12,21,1420
1960,Kentucky,21,Jefferson,111,11,1672,480,99973,37,21,1317
1960,Kentucky,21,Jefferson,111,12,818,170,59983,0,15.5,672
1960,Kentucky,21,Jefferson,111,13,893,400,59983,5,21,729
1960,Kentucky,21,Jefferson,111,14,1430,2361,59983,0,5,421
1960,Kentucky,21,Jefferson,111,15,1739,678,59983,25,21,1380
1960,Kentucky,21,Jefferson,111,16,1713,476,59983,40,21,1394
1960,Kentucky,21,Jefferson,111,17,1385,462,59983,24,21,916
1960,Kentucky,21,Jefferson,111,18,1551,638,59983,28,21,758
1960,Kentucky,21,Jefferson,111,19,1230,1104,59983,3,21,501
1960,Kentucky,21,Jefferson,111,20,1590,1329,59983,9,21,850
1960,Kentucky,21,Jefferson,111,21,2030,884,59983,33,21,1106
1960,Kentucky,21,Jefferson,111,22,1554,589,19994,16,21,933
1960,Kentucky,21,Jefferson,111,23,2094,943,59983,19,21,1541
1960,Kentucky,21,Jefferson,111,24,1558,1431,59983,5,21,908
1960,Kentucky,21,Jefferson,111,25,1834,1931,59983,0,21,722
1960,Kentucky,21,Jefferson,111,26,1518,915,59983,8,21,813
1960,Kentucky,21,Jefferson,111,27,2195,1226,59983,6,21,1426
1960,Kentucky,21,Jefferson,111,28,1226,528,59983,4,21,827
1960,Kentucky,21,Jefferson,111,29,770,783,59983,15,21,361
1960,Kentucky,21,Jefferson,111,30,1946,2976,59983,19,21,980
1960,Kentucky,21,Jefferson,111,31,800,1276,99973,4,21,128
1960,Kentucky,21,Jefferson,111,32,503,718,59983,0,21,139
1960,Kentucky,21,Jefferson,111,33,1071,972,19994,0,21,503
1960,Kentucky,21,Jefferson,111,34,895,516,59983,7,21,353
1960,Kentucky,21,Jefferson,111,35,1217,905,59983,11,15.5,404
1960,Kentucky,21,Jefferson,111,36,2597,764,59983,36,15.5,2031
1960,Kentucky,21,Jefferson,111,37,1417,619,59983,22,21,725
1960,Kentucky,21,Jefferson,111,38,1523,340,59983,4,21,1223
1960,Kentucky,21,Jefferson,111,39,1931,673,59983,31,15.5,1494
1960,Kentucky,21,Jefferson,111,40,888,239,59983,9,21,686
1960,Kentucky,21,Jefferson,111,41,1417,596,59983,34,21,681
1960,Kentucky,21,Jefferson,111,42,730,137,59983,12,15.5,634
1960,Kentucky,21,Jefferson,111,43,2254,1315,59983,42,5,1238
1960,Kentucky,21,Jefferson,111,44,1673,431,99973,40,21,1274
1960,Kentucky,21,Jefferson,111,45,1159,213,59983,25,15.5,1063
1960,Kentucky,21,Jefferson,111,46,1653,377,99973,37,15.5,1520
1960,Kentucky,21,Jefferson,111,47,726,465,0,13,21,142
1960,Kentucky,21,Jefferson,111,48,532,451,19994,25,21,58
1960,Kentucky,21,Jefferson,111,49,1327,1338,139962,25,21,122
1960,Kentucky,21,Jefferson,111,50,1752,1446,99973,31,21,112
1960,Kentucky,21,Jefferson,111,51,2479,1806,99973,89,21,836
1960,Kentucky,21,Jefferson,111,52,3139,2138,99973,116,21,210
1960,Kentucky,21,Jefferson,111,53,1525,964,99973,46,21,248
1960,Kentucky,21,Jefferson,111,54,235,82,59983,8,21,156
1960,Kentucky,21,Jefferson,111,55,1428,585,59983,15,21,870
1960,Kentucky,21,Jefferson,111,56,1629,833,59983,15,15.5,920
1960,Kentucky,21,Jefferson,111,57,1431,981,59983,8,21,289
1960,Kentucky,21,Jefferson,111,58,924,874,59983,44,21,31
1960,Kentucky,21,Jefferson,111,59,2318,2468,59983,51,21,819
1960,Kentucky,21,Jefferson,111,60,1185,1008,59983,14,21,662
1960,Kentucky,21,Jefferson,111,61,819,730,59983,31,21,114
1960,Kentucky,21,Jefferson,111,62,1821,2131,59983,10,21,913
1960,Kentucky,21,Jefferson,111,63,1751,744,59983,45,21,1293
1960,Kentucky,21,Jefferson,111,64,1393,658,59983,56,21,511
1960,Kentucky,21,Jefferson,111,65,1083,550,59983,41,21,676
1960,Kentucky,21,Jefferson,111,66,2386,1387,59983,77,21,662
1960,Kentucky,21,Jefferson,111,67,859,420,59983,11,21,494
1960,Kentucky,21,Jefferson,111,68,1494,391,59983,49,21,907
1960,Kentucky,21,Jefferson,111,69,1311,364,59983,31,21,882
1960,Kentucky,21,Jefferson,111,70,1325,221,99973,72,21,994
1960,Kentucky,21,Jefferson,111,71,1899,623,59983,63,21,1597
1960,Kentucky,21,Jefferson,111,72,818,516,59983,44,21,512
1960,Kentucky,21,Jefferson,111,73,529,282,59983,3,21,211
1960,Kentucky,21,Jefferson,111,74,1511,690,59983,35,21,953
1960,Kentucky,21,Jefferson,111,75,1965,213,0,143,5,1831
1960,Kentucky,21,Jefferson,111,76,1929,656,99973,53,21,1283
1960,Kentucky,21,Jefferson,111,77,1018,344,139962,35,21,596
1960,Kentucky,21,Jefferson,111,78,1567,326,99973,73,21,1354
1960,Kentucky,21,Jefferson,111,79,984,387,99973,48,21,587
1960,Kentucky,21,Jefferson,111,80,562,181,59983,15,21,362
1960,Kentucky,21,Jefferson,111,81,1890,674,59983,23,21,1073
1960,Kentucky,21,Jefferson,111,82,2375,1271,139962,175,21,834
1960,Kentucky,21,Jefferson,111,83,1330,516,139962,55,21,583
1960,Kentucky,21,Jefferson,111,84,1571,514,99973,137,21,1177
1960,Kentucky,21,Jefferson,111,85,1107,547,139962,144,21,533
1960,Kentucky,21,Jefferson,111,86,259,27,139962,4,21,257
1960,Kentucky,21,Jefferson,111,87,937,235,139962,91,5,696
1960,Kentucky,21,Jefferson,111,87,669,479,139962,26,15.5,300
1960,Kentucky,21,Jefferson,111,88,1481,566,139962,231,21,885
1960,Kentucky,21,Jefferson,111,89,1583,272,139962,196,21,1405
1960,Kentucky,21,Jefferson,111,90,2641,728,99973,147,15.5,2246
1960,Kentucky,21,Jefferson,111,91,1524,313,99973,34,15.5,1257
1960,Kentucky,21,Jefferson,111,92,1519,269,99973,28,15.5,1407
1960,Kentucky,21,Jefferson,111,93,1442,129,99973,56,15.5,1329
1960,Kentucky,21,Jefferson,111,94,1466,267,59983,53,15.5,1151
1960,Kentucky,21,Jefferson,111,95,246,35,139962,35,15.5,233
1960,Kentucky,21,Jefferson,111,96,991,83,139962,49,15.5,933
1960,Kentucky,21,Jefferson,111,97,993,141,99973,92,5,875
1960,Kentucky,21,Jefferson,111,98,1232,163,0,57,15.5,1208
1960,Kentucky,21,Jefferson,111,99,1112,161,0,60,5,1027
1960,Kentucky,21,Jefferson,111,100,2810,245,0,190,5,2699
1960,Kentucky,21,Jefferson,111,101,1609,196,0,84,5,1564
1960,Kentucky,21,Jefferson,111,102,20,10,0,19,21,15
1960,Kentucky,21,Jefferson,111,103,1220,438,0,36,21,1132
1960,Kentucky,21,Jefferson,111,104,1633,358,0,61,15.5,1528
1960,Kentucky,21,Jefferson,111,105,942,38,139962,96,5,931
1960,Kentucky,21,Jefferson,111,106,1448,224,139962,47,15.5,1273
1960,Kentucky,21,Jefferson,111,107,1354,233,139962,49,5,1319
1960,Kentucky,21,Jefferson,111,108,934,39,139962,31,5,921
1960,Kentucky,21,Jefferson,111,109,3187,348,139962,211,5,3049
1960,Kentucky,21,Jefferson,111,110,2679,373,139962,110,5,2496
1960,Kentucky,21,Jefferson,111,111,2486,313,139962,52,5,2398
1960,Kentucky,21,Jefferson,111,112,603,27,139962,14,5,596
1960,Kentucky,21,Jefferson,111,113,2263,445,99973,18,5,2217
1960,Kentucky,21,Jefferson,111,114,2525,298,0,26,5,2408
1960,Kentucky,21,Jefferson,111,115,2114,264,0,29,5,2038
1960,Kentucky,21,Jefferson,111,116,935,239,0,8,21,873
